Sub-branch INTERRUPTED (thread 62, pair1 2 orient1 0 pair2 13 orient2 0): 3300330721 nodes, 0 C3-valid, 0 solutions, 325s elapsed
Sub-branch INTERRUPTED (thread 57, pair1 2 orient1 0 pair2 9 orient2 1): 3300330719 nodes, 0 C3-valid, 0 solutions, 325s elapsed
Sub-branch INTERRUPTED (thread 37, pair1 1 orient1 1 pair2 28 orient2 0): 3300330730 nodes, 0 C3-valid, 0 solutions, 326s elapsed
Sub-branch INTERRUPTED (thread 3, pair1 1 orient1 1 pair2 9 orient2 1): 3300330730 nodes, 0 C3-valid, 0 solutions, 326s elapsed
Sub-branch INTERRUPTED (thread 12, pair1 1 orient1 1 pair2 14 orient2 0): 3300330736 nodes, 9773000 C3-valid, 0 solutions, 327s elapsed
Sub-branch INTERRUPTED (thread 13, pair1 1 orient1 1 pair2 14 orient2 1): 3300330736 nodes, 9773000 C3-valid, 0 solutions, 329s elapsed
Sub-branch INTERRUPTED (thread 56, pair1 2 orient1 0 pair2 9 orient2 0): 3300330703 nodes, 0 C3-valid, 0 solutions, 329s elapsed
Sub-branch INTERRUPTED (thread 26, pair1 1 orient1 1 pair2 22 orient2 0): 3300330715 nodes, 0 C3-valid, 0 solutions, 332s elapsed
Sub-branch INTERRUPTED (thread 41, pair1 1 orient1 1 pair2 30 orient2 0): 3300330721 nodes, 252712 C3-valid, 0 solutions, 332s elapsed
Sub-branch INTERRUPTED (thread 30, pair1 1 orient1 1 pair2 24 orient2 0): 3300330706 nodes, 67050816 C3-valid, 0 solutions, 365s elapsed
Sub-branch INTERRUPTED (thread 31, pair1 1 orient1 1 pair2 24 orient2 1): 3300330726 nodes, 94923226 C3-valid, 0 solutions, 377s elapsed
Sub-branch INTERRUPTED (thread 27, pair1 1 orient1 1 pair2 22 orient2 1): 3300330695 nodes, 702240 C3-valid, 0 solutions, 377s elapsed
